user_index,Unnamed: 0,timestamp,http_method,url,api_endpoint,header,data,request_body_size,response_body_size,response_status,execution_time,user_type,data_type,data_valid,seq_valid
0,0,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/,/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,909,200,33.461,0,0,True,True
0,1,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/explore,/explore,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,909,200,33.196999999999996,0,0,True,True
0,2,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/api/v1/memo/all?limit=20,/api/v1/memo/all,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,5923,200,31.707,0,0,True,True
0,3,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/api/v1/memo?creatorUsername=userB&rowStatus=NORMAL&limit=20,/api/v1/memo,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,1648,200,31.635000000000005,0,0,True,True
0,4,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/api/v1/user/name/userB,/api/v1/user/name/userB,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,229,200,32.069,0,0,True,True
0,5,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/u/userA,/u/userA,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,909,200,26.736,0,0,True,True
0,6,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/api/v1/memo/32,/api/v1/memo/32,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,407,200,28.076,0,0,True,True
0,7,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/m/22,/m/22,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,909,200,34.041000000000004,0,0,True,True
0,8,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/explore,/explore,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,909,200,28.587,0,0,True,True
0,9,2025-02-20 12:41:40,GET,http://47.97.114.24:5230/api/v1/memo/all?limit=20,/api/v1/memo/all,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2', 'Content-Type': 'application/json'}",,2,5923,200,29.207,0,0,True,True
