api,url
0,http://111.229.33.190:8081/dashboard/dashboard
0,http://111.229.33.190:8081/dashboard/dashboard
1,http://111.229.33.190:8081/user/profile/home?cguid=d9c8125d-8857-4ae2-8885-e01f51231df3
2,http://111.229.33.190:8081/user/account/edit
3,http://111.229.33.190:8081/admin/user/list
4,http://111.229.33.190:8081/notification/overview
5,http://111.229.33.190:8081/space/spaces
6,http://111.229.33.190:8081/user/people
7,http://111.229.33.190:8081/search/search/index
0,http://111.229.33.190:8081/dashboard/dashboard?tour=1
8,http://111.229.33.190:8081/space/space?tour=1&cguid=1a14826b-23b7-4def-a7da-0cc5053a5ede
1,http://111.229.33.190:8081/user/profile/home?tour=true&cguid=d9c8125d-8857-4ae2-8885-e01f51231df3
9,http://111.229.33.190:8081/marketplace/browse?tour=true
10,http://111.229.33.190:8081/user/profile/about?cguid=d9c8125d-8857-4ae2-8885-e01f51231df3
6,http://111.229.33.190:8081/user/people?keyword=Administration
6,http://111.229.33.190:8081/user/people?keyword=Support
6,http://111.229.33.190:8081/user/people?keyword=HumHub
8,http://111.229.33.190:8081/space/space?cguid=1a14826b-23b7-4def-a7da-0cc5053a5ede
11,http://111.229.33.190:8081/activity/user
12,http://111.229.33.190:8081/notification/user
13,http://111.229.33.190:8081/user/account/edit-settings
14,http://111.229.33.190:8081/user/account/change-username
15,http://111.229.33.190:8081/user/account/change-email
16,http://111.229.33.190:8081/user/account/change-password
17,http://111.229.33.190:8081/user/account/delete
3,http://111.229.33.190:8081/admin/user/list
18,http://111.229.33.190:8081/admin/space
19,http://111.229.33.190:8081/admin/module/list
20,http://111.229.33.190:8081/admin/setting/basic
21,http://111.229.33.190:8081/admin/information
3,http://111.229.33.190:8081/admin/user/list
22,http://111.229.33.190:8081/admin/authentication
23,http://111.229.33.190:8081/admin/user-profile
24,http://111.229.33.190:8081/admin/group
25,http://111.229.33.190:8081/admin/user-people
26,http://111.229.33.190:8081/admin/user/add
27,http://111.229.33.190:8081/admin/user/export?format=csv
27,http://111.229.33.190:8081/admin/user/export?format=xlsx
3,http://111.229.33.190:8081/admin/user/list?sort=profile.lastname
3,http://111.229.33.190:8081/admin/user/list?sort=email
3,http://111.229.33.190:8081/admin/user/list?sort=last_login
28,http://111.229.33.190:8081/user/profile?cguid=4c8f8773-623e-482e-94f7-bb0dd7d36e5e
29,http://111.229.33.190:8081/admin/user/edit?id=18
30,http://111.229.33.190:8081/admin/user/delete?id=18
28,http://111.229.33.190:8081/user/profile?cguid=4c8f8773-623e-482e-94f7-bb0dd7d36e5e
29,http://111.229.33.190:8081/admin/user/edit?id=16
30,http://111.229.33.190:8081/admin/user/delete?id=16
28,http://111.229.33.190:8081/user/profile?cguid=e661b05e-7cc5-4468-88e0-96689333f7bf
29,http://111.229.33.190:8081/admin/user/edit?id=15
30,http://111.229.33.190:8081/admin/user/delete?id=15
28,http://111.229.33.190:8081/user/profile?cguid=eac0d71a-1627-45f1-a7ae-1602ec86c047
29,http://111.229.33.190:8081/admin/user/edit?id=14
30,http://111.229.33.190:8081/admin/user/delete?id=14
28,http://111.229.33.190:8081/user/profile?cguid=98d4af46-8fea-42ad-9f6d-25dda00a8474
29,http://111.229.33.190:8081/admin/user/edit?id=13
30,http://111.229.33.190:8081/admin/user/delete?id=13
28,http://111.229.33.190:8081/user/profile?cguid=13499915-d1c9-4abe-894d-9ee6a9dd9b9e
29,http://111.229.33.190:8081/admin/user/edit?id=12
30,http://111.229.33.190:8081/admin/user/delete?id=12
28,http://111.229.33.190:8081/user/profile?cguid=96eb3a6a-fd83-4c8e-b37e-5aa84c57a2aa
29,http://111.229.33.190:8081/admin/user/edit?id=11
30,http://111.229.33.190:8081/admin/user/delete?id=11
28,http://111.229.33.190:8081/user/profile?cguid=94047c80-6bcf-4bb6-af2c-a889f3f4cab6
29,http://111.229.33.190:8081/admin/user/edit?id=10
30,http://111.229.33.190:8081/admin/user/delete?id=10
28,http://111.229.33.190:8081/user/profile?cguid=9ffc5154-a1d1-4c99-af07-fb9b825e9a85
29,http://111.229.33.190:8081/admin/user/edit?id=9
30,http://111.229.33.190:8081/admin/user/delete?id=9
28,http://111.229.33.190:8081/user/profile?cguid=d6255cac-01c8-4dc9-aea9-547c358feb53
29,http://111.229.33.190:8081/admin/user/edit?id=8
30,http://111.229.33.190:8081/admin/user/delete?id=8
28,http://111.229.33.190:8081/user/profile?cguid=86c141b9-b1d3-4193-a270-d200603fca48
29,http://111.229.33.190:8081/admin/user/edit?id=7
30,http://111.229.33.190:8081/admin/user/delete?id=7
28,http://111.229.33.190:8081/user/profile?cguid=adb1f1ce-3f99-49a9-a4d6-9a287e60b5f4
29,http://111.229.33.190:8081/admin/user/edit?id=6
30,http://111.229.33.190:8081/admin/user/delete?id=6
28,http://111.229.33.190:8081/user/profile?cguid=98cb7660-54d3-4fbc-a874-8e0f7b8f5882
29,http://111.229.33.190:8081/admin/user/edit?id=5
30,http://111.229.33.190:8081/admin/user/delete?id=5
28,http://111.229.33.190:8081/user/profile?cguid=b92568e9-c3d5-4d87-b045-c39b1aa18901
29,http://111.229.33.190:8081/admin/user/edit?id=1
28,http://111.229.33.190:8081/user/profile?cguid=d9c8125d-8857-4ae2-8885-e01f51231df3
31,http://111.229.33.190:8081/admin/pending-registrations
8,http://111.229.33.190:8081/space/space?contentId=6&cguid=d68bbc02-db72-40c2-b31e-4e174d7ca81c
8,http://111.229.33.190:8081/space/space?contentId=6&cguid=d68bbc02-db72-40c2-b31e-4e174d7ca81c
