Unnamed: 0,method,url,header,data,time,type
0,Get,http://111.229.33.190:8000/admin/login/?next=/admin/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': '_csrf=d2f26ceefec150d29574003eaa0b01dbb40b5351ae0d5be5d7a75d55b99729f6a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22XWVRqu7Q2DZE4oHAxCv9K0K6ihvKQ_Y2%22%3B%7D; _identity=e079f2bf2d4b97125bc804af14e5ed68298584d846ec07a27b117a6b2cbbab2aa%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B1%2C%22d9c8125d-8857-4ae2-8885-e01f51231df3%22%2C2592000%5D%22%3B%7D; PHPSESSID=j1kp2hk9i37g4933c6n7khehn9; _identity=e079f2bf2d4b97125bc804af14e5ed68298584d846ec07a27b117a6b2cbbab2aa%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B1%2C%22d9c8125d-8857-4ae2-8885-e01f51231df3%22%2C2592000%5D%22%3B%7D'}",,0,0
1,Get,http://111.229.33.190:8000/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=zgxkkjzfekgpyohxc60ihceknod6dtea; csrftoken=NXLOQtux5EmXMCb2WD7TU0M7Xdi99Y30'}",,0,0
2,Get,http://111.229.33.190:8000/info/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=zgxkkjzfekgpyohxc60ihceknod6dtea; csrftoken=NXLOQtux5EmXMCb2WD7TU0M7Xdi99Y30'}",,0,0
3,Get,http://111.229.33.190:8000/info/add-teacher/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=zgxkkjzfekgpyohxc60ihceknod6dtea; csrftoken=NXLOQtux5EmXMCb2WD7TU0M7Xdi99Y30'}",,0,0
4,Get,http://111.229.33.190:8000/info/add-student/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=zgxkkjzfekgpyohxc60ihceknod6dtea; csrftoken=NXLOQtux5EmXMCb2WD7TU0M7Xdi99Y30'}",,0,0
5,Get,http://111.229.33.190:8000/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
6,Get,http://111.229.33.190:8000/info/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
7,Get,http://111.229.33.190:8000/info/teacher/teachera/1/Classes/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
8,Get,http://111.229.33.190:8000/info/teacher/teachera/2/Classes/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
9,Get,http://111.229.33.190:8000/info/teacher/teachera/3/Classes/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
10,Get,http://111.229.33.190:8000/info/teacher/41/ClassDates/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Cookie': 'sessionid=q0fqavlo7fshn9vukmbjfufjujts3yw4; csrftoken=syFKFd1frliRCxiFuU4nc3r9bUeFqPLN'}",,0,0
